yp_name,yp_role,yp_linkedin,yp_weight,yp_expertise_1,yp_expertise_2,yp_expertise_3,excluded_from_connections
Stuart Cope,Co-Founder & COO,https://uk.linkedin.com/in/stuart-cope-54392b16/,1.5,Operations,Client Relationships,Strategic Partnerships,False
Andrew Rapley,Head of Projects,https://uk.linkedin.com/in/andrew-rapley/,1.3,Project Management,Delivery Excellence,Client Success,False
Sarfraz Hussain,Head of Strategy,https://uk.linkedin.com/in/sarfraz-hussain/,1.2,Strategic Planning,Market Analysis,Growth Strategy,False
Elliott Hillman,Senior Client Partner,https://uk.linkedin.com/in/elliott-hillman/,1.2,Client Partnerships,Sports Industry,Business Development,False
Gunjan Parikh,Founder & CEO,https://uk.linkedin.com/in/gunjan-parikh/,1.3,Strategic Vision,Business Development,Client Strategy,True
